OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
79,Charleston,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Charleston.zip,Y,TOWN,2021-08-03, ,CHARLESTON,19020,5001913150,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/CHARLESTON/ORIG/VTPARCELS_CHARLESTON_2017.zip,42716.5005520977,99805182.5660495
80,Concord,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Concord.zip,Y,TOWN,2021-08-20,,CONCORD,9035,5000915250,Y, ,53349.911227658,138369930.169542
81,Marshfield,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Marshfield.zip,Y,TOWN,2021-08-23, ,MARSHFIELD,23045,5002343600,Y, ,44445.5993307833,113239389.222099
82,Danville,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Danville.zip,Y,TOWN,2021-10-11,,DANVILLE,5015,5000517125,Y, ,55751.5057804476,158049710.808211
83,Hinesburg,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Hinesburg.zip,Y,TOWN,2021-06-25,,HINESBURG,7035,5000733475,Y, ,41481.0571503043,102784373.064256
84,Londonderry,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Londonderry.zip,Y,TOWN,2021-10-22, ,LONDONDERRY,25050,5002540225,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/LONDONDERRY/ORIG/VTPARCELS_LONDONDERRY_2017.zip,41975.7794991066,93149632.5081106
85,West Rutland,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_West Rutland.zip,Y,TOWN,2021-10-25,,WESTRUTLAND,21140,5002182300,Y, ,34698.7234863098,46826498.0371059
86,Proctor,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Proctor.zip,Y,TOWN,2021-11-16,,PROCTOR,21090,5002157250,Y, ,32988.0863425091,19627122.6255719
87,Cambridge,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Cambridge.zip,Y,TOWN,2021-11-18,,CAMBRIDGE,15010,5001511500,Y, ,56100.8849039396,164353908.206449
88,Holland,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Holland.zip,Y,TOWN,2021-11-23,,HOLLAND,19050,5001933775,Y, ,40818.3625744261,100189636.161986
